value,key,area,count,length,n_chips,node,way,length_per_way,AREA/LENGTH,ways/chip,area_per_way,pixels per chip,,raul's decision,raul's comments,freddie's decision,freddie's comments,use
culvert,tunnel,2618.940323,27586,2211341.151,8999,7,27579,80.1820643,0.001184322157,,0.09496139536,,,,,,,
yes,tunnel,151196.0171,9465,1358382.709,3224,3,9462,143.5619012,0.1113059052,,15.97928737,,,,,,,
building_passage,tunnel,22382.36783,5454,107369.3368,2004,5,5449,19.70441123,0.2084614518,,4.107610172,,,,,,,
no,tunnel,0,313,233028.2205,192,1,312,746.8853223,0,,0,,,,,,,
covered,tunnel,169.0224659,110,17586.05771,66,0,110,159.8732519,0.009611162929,,1.536567872,,,,,,,
flooded,tunnel,0,91,22944.14536,69,0,91,252.1334655,0,,0,,,,,,,
pipe,tunnel,0,70,25640.79087,28,0,70,366.2970124,0,,0,,,,,,,
passage,tunnel,6958.160028,32,2743.636401,18,0,32,85.73863754,2.536108657,,217.4425009,,,,,,,
proposed,tunnel,0,26,18977.03086,8,0,26,729.8858024,0,,0,,,,,,,
avalanche_protector,tunnel,0,13,2317.009053,4,0,13,178.2314656,0,,0,,,,,,,
tunnel,tunnel,0,6,643.0662537,2,0,6,107.1777089,0,,0,,,,,,,
siphon,tunnel,0,4,1106.476319,3,0,4,276.6190799,0,,0,,,,,,,
-1,tunnel,830.4868907,3,283.670212,2,0,3,94.55673734,2.927649275,,276.8289636,,,,,,,
c,tunnel,0,1,10.92228958,1,0,1,10.92228958,0,,0,,,,,,,
pi,tunnel,0,1,136.304654,1,0,1,136.304654,0,,0,,,,,,,
bui,tunnel,0,1,15.59673168,1,0,1,15.59673168,0,,0,,,,,,,
railway,tunnel,0,1,3.229635701,1,0,1,3.229635701,0,,0,,,,,,,
railway passage,tunnel,0,1,4.033843358,1,0,1,4.033843358,0,,0,,,,,,,
very_bad,smoothness,5059162.497,16322,15129296.36,5930,0,16322,926.9266241,0.3343950953,2.752445194,309.9597168,8.531471327,,0,,0,unimportant,0
bad,smoothness,522107.1388,9228,8113567.169,4042,4,9224,879.6148275,0.06434988803,,56.60311565,,,,,,,
good,smoothness,527574.3226,5337,1606515.414,1210,97,5240,306.586911,0.3283966765,4.330578512,100.6821226,4.360118369,,0,,0,unimportant,0
excellent,smoothness,577624.209,5067,1008795.516,766,37,5030,200.5557686,0.5725880022,6.566579634,114.8358268,7.540786019,,,,0,,0
horrible,smoothness,195066.2987,2903,2270975.867,1403,0,2903,782.2858653,0.08589536398,,67.19472913,,,,,,,
intermediate,smoothness,177587.8867,1805,983835.1762,833,13,1792,549.0151653,0.18050573,,99.10038319,,,,,,,
very_horrible,smoothness,3315.900868,521,364776.6982,312,0,521,700.1472134,0.00909022118,,6.364493029,,,,,,,
impassable,smoothness,0,392,212814.5408,226,1,391,544.282713,0,,0,,,,,,,
fair,smoothness,0,3,1443.181316,2,0,3,481.0604385,0,,0,,,,,,,
3,smoothness,0,1,71.67513931,1,0,1,71.67513931,0,,0,,,,,,,
medium,smoothness,0,1,79.37295275,1,0,1,79.37295275,0,,0,,,,,,,
surface,parking,117573258.9,31929,7877053.435,5132,699,31230,252.2271353,14.92604561,6.085346843,3764.753726,229.098322,,1,,1,large,1
street_side,parking,701263.8186,2247,216926.6025,632,52,2195,98.82760934,3.232723929,3.473101266,319.4823775,11.0959465,,,,0,,0
multi-storey,parking,10322449.24,3036,613878.5975,733,937,2099,292.4624095,16.81513133,2.863574352,4917.793825,140.8246826,,,,1,,1
carports,parking,238978.0036,384,32215.57062,42,0,384,83.89471516,7.418090042,,622.3385511,,,,,,,
lane,parking,91789.83581,352,38003.37971,116,7,345,110.1547238,2.415307178,2.974137931,266.0574951,7.91291688,,,,0,,0
layby,parking,39764.23468,138,14968.22258,65,33,105,142.5545007,2.656576923,,378.7069969,,,,,,,
