value,key,area,count,length,n_chips,node,way,area_per_way,length_per_way
c,tunnel,0.0,1.0,10.922289583713512,1.0,0.0,1.0,0.0,10.922289583713512
pi,tunnel,0.0,1.0,136.30465397650974,1.0,0.0,1.0,0.0,136.30465397650974
bui,tunnel,0.0,1.0,15.596731679871597,1.0,0.0,1.0,0.0,15.596731679871597
railway,tunnel,0.0,1.0,3.229635700714116,1.0,0.0,1.0,0.0,3.229635700714116
railway passage,tunnel,0.0,1.0,4.0338433583424465,1.0,0.0,1.0,0.0,4.0338433583424465
impassable,smoothness,0.0,392.0,212814.54078467598,226.0,1.0,391.0,0.0,544.2827130042864
fair,smoothness,0.0,3.0,1443.181315503561,2.0,0.0,3.0,0.0,481.06043850118704
3,smoothness,0.0,1.0,71.67513931252488,1.0,0.0,1.0,0.0,71.67513931252488
medium,smoothness,0.0,1.0,79.37295275309023,1.0,0.0,1.0,0.0,79.37295275309023
"surface, Street",parking,0.0,2.0,330.534688418684,1.0,0.0,2.0,0.0,165.267344209342
right parallel,parking,0.0,2.0,527.3608882697831,2.0,0.0,2.0,0.0,263.68044413489156
right,parking,0.0,1.0,61.57552982372817,1.0,0.0,1.0,0.0,61.57552982372817
Street,parking,0.0,1.0,315.65239241316726,1.0,0.0,1.0,0.0,315.65239241316726
separate,parking,0.0,1.0,93.63296068463615,1.0,0.0,1.0,0.0,93.63296068463615
branch,usage,0.0,4643.0,3018241.2212864123,1700.0,0.0,4643.0,0.0,650.0627226548379
irrigation,usage,0.0,1036.0,344921.57206925016,184.0,0.0,1036.0,0.0,332.9358803757241
military,usage,0.0,1029.0,417839.0321067665,103.0,1.0,1028.0,0.0,406.4582024384888
penstock,usage,0.0,164.0,83798.37202022041,76.0,0.0,164.0,0.0,510.9656830501245
headrace,usage,0.0,110.0,55274.71529000852,51.0,0.0,110.0,0.0,502.4974117273502
tailrace,usage,0.0,21.0,3249.705801017807,6.0,0.0,21.0,0.0,154.74789528656225
science,usage,0.0,6.0,1763.81518753185,1.0,0.0,6.0,0.0,293.96919792197497
marine railway,usage,0.0,3.0,124.23300115908978,1.0,0.0,3.0,0.0,41.41100038636326
station,usage,0.0,2.0,84.9075153821963,1.0,0.0,2.0,0.0,42.45375769109815
marine,usage,0.0,1.0,23.42241641874221,1.0,0.0,1.0,0.0,23.42241641874221
underwater,location,0.0,74.0,95122.27619607533,64.0,0.0,74.0,0.0,1285.4361648118288
aboveground,location,0.0,17.0,1148.6662902531943,12.0,0.0,17.0,0.0,67.56860530901143
tunnel,location,0.0,15.0,18208.08424172022,13.0,0.0,15.0,0.0,1213.8722827813478
"Main And Pepper, El Cajon",location,0.0,13.0,2242.444743484274,2.0,1.0,12.0,0.0,186.87039529035619
bridge,location,0.0,13.0,584.5793459848364,7.0,5.0,8.0,0.0,73.07241824810455
overgroundq,location,0.0,4.0,122.05285039823877,2.0,0.0,4.0,0.0,30.513212599559694
overwater,location,0.0,3.0,63.7251366362214,3.0,0.0,3.0,0.0,21.2417122120738
wall,location,0.0,8.0,22.91181102322023,5.0,7.0,1.0,0.0,22.91181102322023
uoverground,location,0.0,1.0,27.232258583389513,1.0,0.0,1.0,0.0,27.232258583389513
ground,location,0.0,1.0,38.09867133720255,1.0,0.0,1.0,0.0,38.09867133720255
